client_recieve_time,card_id,id,topic,raw,column,row
2025-08-13 05:40:17.708,6974,116,/row/10/column/9/id/116/reader/response,03030c03843d3c4769740100000000b227,9,10
2025-08-13 05:40:17.716,6974,104,/row/9/column/9/id/104/reader/response,03030c03843d3c4769740100000000b227,9,9
2025-08-13 05:40:17.737,6974,115,/row/10/column/8/id/115/reader/response,03030c03843d3c4769740100000000b227,8,10
2025-08-13 05:40:17.783,6974,103,/row/9/column/8/id/103/reader/response,03030c03843d3c4769740100000000b227,8,9
2025-08-13 05:40:17.804,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:17.926,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:18.030,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:18.413,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:18.443,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:18.548,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:18.576,697b,0,/row/1/column/1/id/0/reader/response,03030c03843d3c47697b0100000000b2d8,1,1
2025-08-13 05:40:18.637,697b,0,/row/1/column/1/id/0/reader/response,03030c03843d3c47697b0100000000b2d8,1,1
2025-08-13 05:40:18.657,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:18.741,697b,0,/row/1/column/1/id/0/reader/response,03030c03843d3c47697b0100000000b2d8,1,1
2025-08-13 05:40:18.779,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:18.846,697b,0,/row/1/column/1/id/0/reader/response,03030c03843d3c47697b0100000000b2d8,1,1
2025-08-13 05:40:18.849,6974,103,/row/9/column/8/id/103/reader/response,03030c03843d3c4769740100000000b227,8,9
2025-08-13 05:40:18.876,6974,91,/row/8/column/8/id/91/reader/response,03030c03843d3c4769740100000000b227,8,8
2025-08-13 05:40:18.879,6974,103,/row/9/column/8/id/103/reader/response,03030c03843d3c4769740100000000b227,8,9
2025-08-13 05:40:18.883,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:18.936,6974,91,/row/8/column/8/id/91/reader/response,03030c03843d3c4769740100000000b227,8,8
2025-08-13 05:40:18.950,697b,0,/row/1/column/1/id/0/reader/response,03030c03843d3c47697b0100000000b2d8,1,1
2025-08-13 05:40:18.980,6974,103,/row/9/column/8/id/103/reader/response,03030c03843d3c4769740100000000b227,8,9
2025-08-13 05:40:18.987,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:19.054,697b,0,/row/1/column/1/id/0/reader/response,03030c03843d3c47697b0100000000b2d8,1,1
2025-08-13 05:40:19.058,6974,91,/row/8/column/8/id/91/reader/response,03030c03843d3c4769740100000000b227,8,8
2025-08-13 05:40:19.090,6974,103,/row/9/column/8/id/103/reader/response,03030c03843d3c4769740100000000b227,8,9
2025-08-13 05:40:19.093,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:19.159,697b,0,/row/1/column/1/id/0/reader/response,03030c03843d3c47697b0100000000b2d8,1,1
2025-08-13 05:40:19.196,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:19.277,697b,0,/row/1/column/1/id/0/reader/response,03030c03843d3c47697b0100000000b2d8,1,1
2025-08-13 05:40:19.300,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:19.419,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:19.571,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:19.642,697b,0,/row/1/column/1/id/0/reader/response,03030c03843d3c47697b0100000000b2d8,1,1
2025-08-13 05:40:19.676,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:19.780,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:19.884,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:19.989,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:20.008,697b,0,/row/1/column/1/id/0/reader/response,03030c03843d3c47697b0100000000b2d8,1,1
2025-08-13 05:40:20.095,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:20.099,697b,0,/row/1/column/1/id/0/reader/response,03030c03843d3c47697b0100000000b2d8,1,1
2025-08-13 05:40:20.200,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:20.207,6974,78,/row/7/column/7/id/78/reader/response,03030c03843d3c4769740100000000b227,7,7
2025-08-13 05:40:20.221,697b,0,/row/1/column/1/id/0/reader/response,03030c03843d3c47697b0100000000b2d8,1,1
2025-08-13 05:40:20.248,6974,78,/row/7/column/7/id/78/reader/response,03030c03843d3c4769740100000000b227,7,7
2025-08-13 05:40:20.304,696f,143,/row/12/column/12/id/143/reader/response,03030c03843d3c47696f0100000000b1cc,12,12
2025-08-13 05:40:20.313,697b,1,/row/1/column/2/id/1/reader/response,03030c03843d3c47697b0100000000b2d8,2,1
2025-08-13 05:40:20.326,697b,0,/row/1/column/1/id/0/reader/response,03030c03843d3c47697b0100000000b2d8,1,1
2025-08-13 05:40:20.341,6974,78,/row/7/column/7/id/78/reader/response,03030c03843d3c4769740100000000b227,7,7
2025-08-13 05:40:20.344,697b,12,/row/2/column/1/id/12/reader/response,03030c03843d3c47697b0100000000b2d8,1,2
2025-08-13 05:40:20.377,697b,12,/row/2/column/1/id/12/reader/response,03030c03843d3c47697b0100000000b2d8,1,2
2025-08-13 05:40:20.380,697b,1,/row/1/column/2/id/1/reader/response,03030c03843d3c47697b0100000000b2d8,2,1
2025-08-13 05:40:20.435,697b,0,/row/1/column/1/id/0/reader/response,03030c03843d3c47697b0100000000b2d8,1,1
